Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Leaper Traverse,V3  **,Sent x,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Parker,V7  ,Sent dnf,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Kate's Horror,VM  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Lemur,V3  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Why Crack,V0  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
TC 8b Problem 2,V0  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
YMC Wall,V0  *,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Slab Traverse,V4+  ,Sent x,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Jug for a Thug,V1  *,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
"Golden Oldie, SDS",V2  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Leaper,V2  *,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Faint Heart,V0+  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
John,V0  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Why Crack Sitter,V0+  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Stump,V0  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Red Baron,V7  ***,Sent dnf,Sid Sherborne,Dropped whilst bringing my foot up to reach the top! Unfinished business here.,27/Oct/18,Shipley Glen,Bouldering,Font,England
Manson's Wall,V5  ***,Sent dnf,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Under the Boardwalk,6c  ***,Lead dog,EddieTJ,"Gutted to fall off, pumped out of my mind, on the finishing mantle",21/Oct/18,Lower Pen Trwyn,Sport,French,Wales
The Grim Jim,E2 5b **,Lead O/S,Jonathan Muscat,,20/Oct/18,Dinas Cromlech,Trad,British,Wales
Cobweb Crack,VS 5a **,Lead O/S,Jonathan Muscat,,20/Oct/18,Dinas Cromlech,Trad,British,Wales
Cemetery Gates,E1 5b ***,Lead O/S,Jonathan Muscat,Done in one pitch with the E2 direct finish. Had seconded the normal line previously.,20/Oct/18,Dinas Cromlech,Trad,British,Wales
Bulging Wall,HS 4a *,Lead O/S,,RCI assessment lead. Nice little climb!,14/Oct/18,Craig Pant Ifan (Tremadog),Trad,British,Wales
Inaccessible Crack,VS 4c ***,Lead O/S,Steely12,,29/Sep/18,Stanage North,Trad,British,England
Kelly's Overhang,E1 5c ***,Lead O/S,Steely12,"Bewildering move, Dave did this much more elegantly coming up after me.",29/Sep/18,Stanage North,Trad,British,England
Acajou,5c  *,Lead O/S,"Steely12, lo22",,24/Aug/18,La Joux,Sport,French,France
Les Anciens du Gaz,5c  **,Lead O/S,"Steely12, lo22",,24/Aug/18,La Joux,Sport,French,France
Chulilla pearl,6a  **,Lead O/S,"Steely12, lo22",,24/Aug/18,La Joux,Sport,French,France
La Beaute du Peche,6a  **,Lead O/S,"Steely12, lo22",,24/Aug/18,La Joux,Sport,French,France
Indiana Jane,5a  ***,Lead O/S,"Steely12, lo22",,24/Aug/18,La Joux,Sport,French,France
Mont Blanc du Tacul summit,summit  ,-,Steely12,Great day to push a bit higher and get better acclimatised. Interesting that Ed starting really feeling it on the way down.,23/Aug/18,Mont Blanc du Tacul,Special, ,France
Arete des Cosmiques,AD 3 ***,AltLd O/S,,Definitely have done this twice (maybe 3 times?) - did it with Dan the year before after Conville. Absolutely stunning excursion and I really hope it doesn't fall down (anymore than it already has!),22/Aug/18,Aiguille du Midi,Alpine,Alpine,France
Mushroom Wall,VS 5a *,Lead O/S,alice fuller,Whizzed up this on the side of an outdoor coaching session from the Barn. Nice end to my month's stay in Devon.,10/Aug/18,Sheeps Tor,Trad,British,England
Caprice,VS 4c **,Lead,alice fuller,,08/Aug/18,Doyden Point,Trad,British,England
The Vicar's Goat,E2 5b ,2nd O/S,wojt,,05/Aug/18,St. Govan's East,Trad,British,Wales
First Blood,E2 5c ***,Lead dog,wojt,Just couldn't get this clean in sweltering conditions. Aptly named!,05/Aug/18,St. Govan's East,Trad,British,Wales
Serpent's Tail,E4 5c *,2nd O/S,,Surprisingly good holds for most of this,05/Aug/18,St. Govan's East,Trad,British,Wales
Brave New World,E4 6a ***,2nd dog,wojt,Fell off near the bottom and spent ages trying to swing back into the wall,05/Aug/18,St. Govan's East,Trad,British,Wales
Gravy Train,E3 5c ***,Lead O/S,wojt,"My hardest lead to date - I found this wild, brilliant and terrifying.",04/Aug/18,Hollow Caves Bay,Trad,British,Wales
Circus Circus,E5 6a ***,2nd O/S,wojt,"Clean, steep lovely climbing with an awesome headwall.",04/Aug/18,Rusty Walls,Trad,British,Wales
"Grezelda, Grezelda",E6 6a ***,2nd dog,wojt,"Got boxed out of my mind seconding this in hot, greasy conditions. Not to mention being nowhere near able to climb 7b! Had to really fight my way up this, even pulling on gear. Perhaps my first intro to proper hard climbing.",04/Aug/18,Hollow Caves Bay,Trad,British,Wales
Brazen Buttress,E2 5b ***,Lead O/S,alice fuller,Long and pumpy and really cool!,27/Jul/18,Mother Carey's Kitchen,Trad,British,Wales
Herod,E2 5b **,Lead O/S,alice fuller,,27/Jul/18,Mother Carey's Kitchen,Trad,British,Wales
Inner Space,HVS 4c ***,AltLd O/S,alice fuller,,27/Jul/18,Mother Carey's Kitchen,Trad,British,Wales
Charenton Crack,E2 5b ***,Lead O/S,alice fuller,"Technical and strenuous for the grade, despite being well protected.",26/Jul/18,Mowing Word,Trad,British,Wales
Snozwanger,E1 5b **,2nd O/S,alice fuller,,25/Jul/18,Mowing Word,Trad,British,Wales
Chimes of Freedom,E2 5b ***,Lead O/S,alice fuller,Brilliant climbing. Moves out of the roof are very out there.,24/Jul/18,Mowing Word,Trad,British,Wales
The Butcher,E3 5c ***,Lead O/S,alice fuller,Wicked!! My first route harder than E1 and I'm glad it was this. I don't think I'll ever forget the wild sensation of pulling around the arete. E3 or E2 - it doesn't matter. It's damn good.,23/Jul/18,St. Govan's Head,Trad,British,Wales
John Wayne,E5 6a ***,2nd O/S,alice fuller,"Nice, steep face climbing. Glad to actually second Wojtech cleanly for once.",23/Jul/18,St. Govan's Head,Trad,British,Wales
Deranged,E2 5b ***,Lead O/S,wojt,Steady,23/Jul/18,St. Govan's Head,Trad,British,Wales
Wishful Thinking,E1 5b ***,Lead O/S,alice fuller,"Steep, exposed climbing on massive holds. A great trip for E1!",22/Jul/18,The Castle,Trad,British,Wales
The Beast from the Undergrowth,E2 5b **,2nd O/S,alice fuller,What a move!,22/Jul/18,Huntsman's Leap,Trad,British,Wales
The Hole,HVS 5b **,Lead O/S,alice fuller,Memorable!,21/Jul/18,Trevallen Cliff,Trad,British,Wales
Dogs of Hoare,E5 6a ***,2nd,"wojt, alice fuller",Delicate start with a thrilling top section,21/Jul/18,Trevallen Cliff,Trad,British,Wales
Broadsword,E4 6a *,2nd dog,"wojt, alice fuller","Got completely shut down on this, though it was very hot. Found the jams hard and slippery.",21/Jul/18,Trevallen Cliff,Trad,British,Wales
Lunakhod,HVS 5a ***,Lead O/S,alice fuller,"First taste of Sharpnose, will be back!",20/Jul/18,Lower Sharpnose Point,Trad,British,England
Haggis,E1 5b **,Lead O/S,alice fuller,"Fiddly gear and, for its height, I thought this was quite runout. Cool position pulling over the roof though",18/Jul/18,Haytor,Trad,British,England
Outward Bound,HVS 4c **,Lead O/S,alice fuller,,18/Jul/18,Haytor,Trad,British,England
Interrogation,E3 6a ***,2nd O/S,alice fuller,"Pumpy, tenuous traverse followed by a heinous mantel. Came very close to falling off on second",18/Jul/18,Haytor,Trad,British,England
Box of Delights,HS 4b ***,Lead O/S,Steely12,"Foot slipped on a baking foothold, just held it!",15/Jul/18,Vicarage Cliff,Trad,British,England
Pressure Drop,E3 5c ***,2nd O/S,"Andy Banister, alice fuller",Amazing climbing in an amazing location!,15/Jul/18,Spekes Mill Mouth and Brownspear Point,Trad,British,England
Little Dribbler,HVS 5a **,Lead O/S,lo22,,15/Jul/18,Vicarage Cliff,Trad,British,England
Aviation,E1 5b ***,Lead O/S,alice fuller,,14/Jul/18,Haytor,Trad,British,England
Virago,E1 5a ***,Lead O/S,Sid Sherborne,,10/Jul/18,Craig Buddon,Trad,British,England
Gamekeepers Refusal,E1 5b ,Lead O/S,Sid Sherborne,,10/Jul/18,Craig Buddon,Trad,British,England
Trepidation,HVS 5b ,Lead O/S,Sid Sherborne,,10/Jul/18,Craig Buddon,Trad,British,England
Grand Day Out,HVS 5a ,Lead O/S,Steely12,Part of stay with Steeles and bat saga.,08/Jul/18,Eagle Crag (Grisedale),Trad,British,England
Kestrel wall,S 4a ***,Lead O/S,Steely12,,08/Jul/18,Eagle Crag (Grisedale),Trad,British,England
Warbird,VS 4c **,Lead O/S,Steely12,,08/Jul/18,Eagle Crag (Grisedale),Trad,British,England
Hawkeye,VS 4b **,2nd O/S,Steely12,,08/Jul/18,Eagle Crag (Grisedale),Trad,British,England
Pinnacle Ridge,Grade-3  ***,AltLd,Steely12,,07/Jul/18,St. Sunday Crag,Scrambling,Scrambling,England
Cemetery Gates,E1 5b ***,2nd,Dan Cooper (from RCI training),,30/Jun/18,Dinas Cromlech,Trad,British,Wales
Sunday Lunch,HS 4b *,Lead O/S,,"RCI training, day 1.",30/Jun/18,Craig Y Tonnau,Trad,British,Wales
Diane's Approval,VD  **,2nd,,"RCI training, day 1.",30/Jun/18,Craig Y Tonnau,Trad,British,Wales
Shadow Wall,VS 4c ***,AltLd rpt,"Lee Simmons (from RCI training), Dan Cooper (from RCI training)",,29/Jun/18,Carreg Wastad,Trad,British,Wales
Vandals,V1  ***,Sent β,Steely12,,17/Jun/18,Robin Hood's Stride,Bouldering,Font,England
Suicide Wall,HVS 5b ***,Lead,"dmartin, Steely12","Amazing, one of the best on grit.",17/Jun/18,Cratcliffe Tor,Trad,British,England
The Gauntlet,HVS 5a **,Lead O/S,Michael Bortoluzzi,,10/Jun/18,Gogarth North Stack and Main Cliff,Trad,British,Wales
Strike,E4 6a **,2nd dog,Michael Bortoluzzi,Hard!,10/Jun/18,Gogarth North Stack and Main Cliff,Trad,British,Wales
Gogarth,E1 5b ***,AltLd O/S,Michael Bortoluzzi,,09/Jun/18,Gogarth North Stack and Main Cliff,Trad,British,Wales
The Ramp,HVS 5a **,AltLd O/S,Michael Bortoluzzi,,09/Jun/18,Gogarth North Stack and Main Cliff,Trad,British,Wales
Hairy Kipper,VD  **,AltLd O/S,lo22,,28/May/18,Gearr Aonach,Trad,British,Scotland
Aonach Eagach Ridge (Summer),Grade-2  ***,Solo O/S,"Sid Sherborne, lo22, EGriffin, Sam Seddon, Izaak Tyson Hirst",,27/May/18,Aonach Eagach - Sgorr nam Fiannaidh,Scrambling,Scrambling,Scotland
Am Bodach summit,summit  ,-,,,27/May/18,Am Bodach,Special, ,Scotland
Aonach Eagach - Sgor nam Fiannaidh summit,summit  ,-,Sid Sherborne,,27/May/18,Aonach Eagach - Sgorr nam Fiannaidh,Special, ,Scotland
Aonach Eagach - Stob Coire Leith summit,summit  ,-,Sid Sherborne,,27/May/18,Aonach Eagach - Stob Coire Leith,Special, ,Scotland
Am Bodach summit,summit  ,-,Sid Sherborne,,27/May/18,Am Bodach,Special, ,Scotland
Sròn Gharbh summit,summit  ,-,Sid Sherborne,,27/May/18,Sròn Gharbh,Special, ,Scotland
Stob Mhic Mhartuin summit,summit  ,-,Sid Sherborne,,27/May/18,Stob Mhic Mhartuin,Special, ,Scotland
Aonach Eagach - Meall Dearg - summit,summit  ,-,Sid Sherborne,,27/May/18,Aonach Eagach - Meall Dearg,Special, ,Scotland
Shackle Route (Summer),S 4a **,AltLd O/S,lo22,,26/May/18,Buachaille Etive Mor,Trad,British,Scotland
Engineer's Crack,E1 5b **,Lead O/S,lo22,,26/May/18,Buachaille Etive Mor,Trad,British,Scotland
The Left Unconquerable,E1 5b ***,Lead RP,Steely12,,20/Apr/18,Stanage Plantation,Trad,British,England
Heaven Crack,VD  ***,2nd O/S,Steely12,,20/Apr/18,Stanage Popular,Trad,British,England
Hell Crack,VS 4c ***,Lead O/S,Steely12,,20/Apr/18,Stanage Popular,Trad,British,England
The Scoop,HVS 5b ***,Lead O/S,Steely12,,20/Apr/18,Stanage Popular,Trad,British,England
Zulu Express,6a+  **,Lead O/S,Tom Lord,,28/Mar/18,Frontales,Sport,French,Spain
Viejo Amigo,7a  **,Lead RP,Tom Lord,,27/Mar/18,Frontales,Sport,French,Spain
Viejo Traidor,7b+  ***,Lead dog,"Sylvan Chouhan, Tom Lord",,26/Mar/18,Frontales,Sport,French,Spain
Poema de Roca (P1),7a  ***,Lead RP,"Sylvan Chouhan, Tom Lord, Ed Brown",,23/Mar/18,Frontales,Sport,French,Spain
Amptrax,6a  ***,AltLd,"Gabbyhan, Tom Lord",,22/Mar/18,Frontales,Sport,French,Spain
Little Brown Baby,7a+  ***,Lead dog,"Sylvan Chouhan, Niamh Gibson",,21/Mar/18,Frontales,Sport,French,Spain
Baron Rojo,6b+  *,Lead RP,Sid Sherborne,,20/Mar/18,Frontales,Sport,French,Spain
Un Monton de Chatarra,6a  ***,Lead O/S,Sylvan Chouhan,,20/Mar/18,Frontales,Sport,French,Spain
Clogwyn Left Hand Branch,IV 5 ***,AltLd O/S,Michael Bortoluzzi,Brilliant Climbing! fab ice pitch followed by a nice contrasting and still quite stimulating top mixed pitch.,04/Mar/18,Clogwyn Du Ymhen Y Glyder,Winter,Scottish,Wales
The Ramp,III 3 ***,AltLd O/S,Michael Bortoluzzi,,03/Mar/18,Devils Kitchen (Cwm Idwal) - (Clogwyn y Geifr),Winter,Scottish,Wales
The Screen,IV 4 ***,AltLd O/S,Michael Bortoluzzi,,03/Mar/18,Devils Kitchen (Cwm Idwal) - (Clogwyn y Geifr),Winter,Scottish,Wales
Pillar Finish,V4  **,Sent x,"Sid Sherborne, Francesco Di Lallo, Michael Bortoluzzi, Tom Hopkins, Niamh Gibson, Tom Lord",,18/Feb/18,Pen Trwyn,Bouldering,V-grades,Wales
The Argument,V5  *,Sent dnf,"Sylvan Chouhan, Sid Sherborne, Francesco Di Lallo, dmartin, Michael Bortoluzzi, Tom Hopkins, Niamh Gibson",,18/Feb/18,Pen Trwyn,Bouldering,V-grades,Wales
Split rock,V4+  *,Sent x,"Sylvan Chouhan, Sid Sherborne",,18/Feb/18,Pen Trwyn,Bouldering,Font,Wales
Keep Forgettin',V3+  **,Sent x,Sid Sherborne,,18/Feb/18,Pill Box Wall,Bouldering,Font,Wales
Hip Hop,V5+  **,Sent x,"Michael Bortoluzzi, Sylvan Chouhan",,18/Feb/18,Pill Box Wall,Bouldering,Font,Wales
The Weirpig start,V3  ,Sent x,"Sylvan Chouhan, Sid Sherborne",,17/Feb/18,Carreg Hyll-Drem,Bouldering,V-grades,Wales
Central Righthand Start,V4  **,Sent x,"Sylvan Chouhan, Sid Sherborne",,17/Feb/18,Carreg Hyll-Drem,Bouldering,V-grades,Wales
NWB  P1,V0  *,Sent O/S,"Francesco Di Lallo, Niamh Gibson, Tom Lord",,17/Feb/18,RAC Boulders,Bouldering,Font,Wales
NWB P4 / CC P3 / BB P4,V0+  **,Sent O/S,"Francesco Di Lallo, Niamh Gibson, Tom Lord",,17/Feb/18,RAC Boulders,Bouldering,Font,Wales
Magic Arrows,V3  ,Sent x,"Augustin Moinat, Tom Hopkins, Sid Sherborne, Niamh Gibson",,04/Feb/18,The P,Bouldering,Font,England
Dwindling Enthusiasm,V3+  ,Sent x,"Augustin Moinat, Tom Hopkins, Sid Sherborne, Niamh Gibson",,04/Feb/18,The P,Bouldering,Font,England
Car Bound Puerile Ticker,V3  ,Sent x,"Augustin Moinat, Tom Hopkins, Sid Sherborne, Niamh Gibson",,04/Feb/18,The P,Bouldering,Font,England
Immoral High Ground,V4  ,Sent x,"Sid Sherborne, Niamh Gibson",,04/Feb/18,The P,Bouldering,Font,England
Orange Glow,V2  ,Sent,"Sid Sherborne, Augustin Moinat, Tom Hopkins, Niamh Gibson",,04/Feb/18,The P,Bouldering,Font,England
The Warm-Up,D6  *,Lead rpt,"Steely12, Michael Bortoluzzi",,27/Jan/18,Masson Lees Quarry,Mixed,Dry Tooling,England
Sick Boy,D9  **,Lead dnf,Michael Bortoluzzi,,27/Jan/18,Masson Lees Quarry,Mixed,Dry Tooling,England
Time and a Half,D5  ,TR rpt,"Weronika-maksym, Augustin Moinat, Sid Sherborne",,21/Jan/18,The Works,Mixed,Dry Tooling,England
Bowfell summit,summit  ,-,Sid Sherborne,,20/Jan/18,Bowfell,Special, ,England
Cneifion Arete,D  ***,Solo,Francesco Di Lallo,Day 2 of joint trip with LUMC,14/Jan/18,Cwm Cneifion,Trad,British,Wales
Africa Rib,VD  **,AltLd O/S,Francesco Di Lallo,Was very cold! Not really trad weather. Day 1 of joint trip with LUMC,13/Jan/18,Craig y Clipiau (Moelwyns),Trad,British,Wales
North Ridge,I  ,Solo,Steely12,,03/Jan/18,Stob Ban,Winter,Scottish,Scotland
Evening Citizen,V 7 **,2nd,"Sid Sherborne, Richard Kendrick",,02/Jan/18,Bidean nam Bian - Stob Coire nan Lochan,Winter,Scottish,Scotland
East-northeast Ridge (Winter),II  *,Solo O/S,"Joe Tkocz, dmartin, lo22, Steely12",,01/Jan/18,Beinn a' Bheithir - Sgorr Dhearg,Winter,Scottish,Scotland
"Ordinary Route (Central Buttress), AKA Raeburn's Route",IV 4 ***,AltLd,"Steely12, dmartin",First proper taste of winter climbing. Very snowed over and tiring but great!,30/Dec/17,Bidean nam Bian - Stob Coire nan Lochan,Winter,Scottish,Scotland
Elbow Ridge,III  ***,Lead O/S,"Steely12, Sid Sherborne",,12/Dec/17,Winnats Pass,Winter,Scottish,England
Winnats Head Buttress,II  ,Lead O/S,"Steely12, Sid Sherborne",,12/Dec/17,Winnats Pass,Winter,Scottish,England
No Tools Please We're British,6c+  **,Lead RP,Steely12,,11/Dec/17,Masson Lees Quarry,Sport,French,England
The Warm-Up,D6  *,Lead rpt,Steely12,,11/Dec/17,Masson Lees Quarry,Mixed,Dry Tooling,England
Paradise Arête,VS 4c **,Lead O/S,"Gabbyhan, Tom Lord",,12/Nov/17,Stanage Plantation,Trad,British,England
Nelson's Nemesis,VS 4b ***,Lead O/S,Gabbyhan,,11/Nov/17,Birchen Edge,Trad,British,England
Emma's Dilemma,S 4a *,2nd O/S,"Gabbyhan, Tom Lord",,11/Nov/17,Birchen Edge,Trad,British,England
Niche Traverse,V4  **,Sent x,"Sylvan Chouhan, Sid Sherborne, Michael Bortoluzzi, Niamh Gibson",,05/Nov/17,Wright's Rock Area,Bouldering,Font,England
Saur Off Sit-start,V4  **,Sent,"Sid Sherborne, Michael Bortoluzzi",,05/Nov/17,Wright's Rock Area,Bouldering,Font,England
Thorns Start,V1  *,Sent,Sid Sherborne,,05/Nov/17,Wright's Rock Area,Bouldering,Font,England
Tryfan summit,summit  ***,-,"Sid Sherborne, dmartin",,21/Oct/17,Tryfan,Special, ,Wales
The North Ridge (Summer),Grade-1  ***,Solo,"Sid Sherborne, dmartin",,21/Oct/17,Tryfan,Scrambling,Scrambling,Wales
Thin Air,VS 4b *,Lead O/S,Steely12,,15/Oct/17,Harborough Rocks,Trad,British,England
Overhanging Wall,S 4b **,Solo O/S,"dmartin, Steely12",,15/Oct/17,Harborough Rocks,Trad,British,England
Pockets,S 4c ,Solo O/S,"dmartin, Steely12",,15/Oct/17,Harborough Rocks,Trad,British,England
Jug,VS 5a *,Solo O/S,"dmartin, Steely12",,15/Oct/17,Harborough Rocks,Trad,British,England
Bow Corner,HVD  ,Solo O/S,"dmartin, Steely12",,15/Oct/17,Harborough Rocks,Trad,British,England
Red Rose Speedway,HVS 5a ***,Lead O/S,"Sid Sherborne, Steely12",,28/Sep/17,Symonds Yat,Trad,British,England
Golden Fleece,HS 4b **,Lead O/S,"Sid Sherborne, Steely12",,28/Sep/17,Symonds Yat,Trad,British,England
Moonraker,HVS 5a ***,AltLd O/S,alice fuller,Great to do this on the last day of my week in Devon. Inspired by David Linnett YouTube video.,06/Sep/17,Berry Head - The Old Redoubt,Trad,British,England
Christmas Crack,HS 4a ***,Lead O/S,"Steely12, dmartin",First self-directed trad climbing trip. Few days camping and cragging with these two in 2nd year before we got rained off.,05/Sep/17,Stanage Popular,Trad,British,England
